channel,time,status,program,pitch,velo
1,960,Note_on_c,0,53,100
1,960,Note_on_c,0,59,100
1,978,Note_off_c,0,53,100
1,978,Note_off_c,0,59,100
1,1080,Note_on_c,0,54,100
1,1080,Note_on_c,0,54,100
1,1098,Note_off_c,0,54,100
1,1098,Note_off_c,0,54,100
1,1200,Note_on_c,0,54,100
1,1200,Note_on_c,1,55,100
1,1218,Note_off_c,0,54,100
1,1218,Note_off_c,1,55,100
1,1320,Note_on_c,0,53,100
1,1320,Note_on_c,0,59,100
1,1338,Note_off_c,0,53,100
1,1338,Note_off_c,0,59,100
1,1440,Note_on_c,0,53,100
1,1440,Note_on_c,0,54,100
1,1458,Note_off_c,0,53,100
1,1458,Note_off_c,0,54,100
1,1560,Note_on_c,0,53,100
1,1560,Note_on_c,0,53,100
1,1560,Note_on_c,0,59,100
1,1560,Note_on_c,0,59,100
1,1560,Note_on_c,1,59,100
1,1560,Note_on_c,1,59,100
1,1578,Note_off_c,0,53,100
1,1578,Note_off_c,0,59,100
1,1578,Note_off_c,1,59,100
1,1578,Note_off_c,0,53,100
1,1578,Note_off_c,0,59,100
1,1578,Note_off_c,1,59,100
1,1680,Note_on_c,0,54,100
1,1698,Note_off_c,0,54,100
1,1800,Note_on_c,0,53,100
1,1800,Note_on_c,1,63,100
1,1818,Note_off_c,0,53,100
1,1818,Note_off_c,1,63,100
1,1920,Note_on_c,0,53,100
1,1920,Note_on_c,0,54,100
1,1938,Note_off_c,0,53,100
1,1938,Note_off_c,0,54,100
1,2040,Note_on_c,0,53,100
1,2040,Note_on_c,0,53,100
1,2040,Note_on_c,1,55,100
1,2040,Note_on_c,1,55,100
1,2058,Note_off_c,0,53,100
1,2058,Note_off_c,1,55,100
1,2058,Note_off_c,0,53,100
1,2058,Note_off_c,1,55,100
1,2160,Note_on_c,0,53,100
1,2160,Note_on_c,0,59,100
1,2178,Note_off_c,0,53,100
1,2178,Note_off_c,0,59,100
1,2280,Note_on_c,0,53,100
1,2280,Note_on_c,0,54,100
1,2280,Note_on_c,1,59,100
1,2298,Note_off_c,0,53,100
1,2298,Note_off_c,0,54,100
1,2298,Note_off_c,1,59,100
1,2400,Note_on_c,0,53,100
1,2400,Note_on_c,0,59,100
1,2418,Note_off_c,0,53,100
1,2418,Note_off_c,0,59,100
1,2520,Note_on_c,0,53,100
1,2520,Note_on_c,0,54,100
1,2538,Note_off_c,0,53,100
1,2538,Note_off_c,0,54,100
1,2640,Note_on_c,0,54,100
1,2658,Note_off_c,0,54,100
1,2760,Note_on_c,0,59,100
1,2760,Note_on_c,0,59,100
1,2760,Note_on_c,1,63,100
1,2760,Note_on_c,1,63,100
1,2778,Note_off_c,0,59,100
1,2778,Note_off_c,1,63,100
1,2778,Note_off_c,0,59,100
1,2778,Note_off_c,1,63,100
1,2880,Note_on_c,0,53,100
1,2880,Note_on_c,0,54,100
1,2898,Note_off_c,0,53,100
1,2898,Note_off_c,0,54,100
1,3000,Note_on_c,0,53,100
1,3000,Note_on_c,0,59,100
1,3018,Note_off_c,0,53,100
1,3018,Note_off_c,0,59,100
1,3120,Note_on_c,0,54,100
1,3120,Note_on_c,1,55,100
1,3138,Note_off_c,0,54,100
1,3138,Note_off_c,1,55,100
1,3240,Note_on_c,0,53,100
1,3240,Note_on_c,0,54,100
1,3258,Note_off_c,0,53,100
1,3258,Note_off_c,0,54,100
1,3360,Note_on_c,0,53,100
1,3360,Note_on_c,0,59,100
1,3360,Note_on_c,1,59,100
1,3378,Note_off_c,0,53,100
1,3378,Note_off_c,0,59,100
1,3378,Note_off_c,1,59,100
1,3480,Note_on_c,0,54,100
1,3480,Note_on_c,0,54,100
1,3498,Note_off_c,0,54,100
1,3498,Note_off_c,0,54,100
1,3600,Note_on_c,0,53,100
1,3600,Note_on_c,0,59,100
1,3600,Note_on_c,1,63,100
1,3618,Note_off_c,0,53,100
1,3618,Note_off_c,0,59,100
1,3618,Note_off_c,1,63,100
1,3720,Note_on_c,0,54,100
1,3738,Note_off_c,0,54,100
1,3840,Note_on_c,1,55,100
1,3858,Note_off_c,1,55,100
1,3960,Note_on_c,0,54,100
1,3978,Note_off_c,0,54,100
1,4080,Note_on_c,0,53,100
1,4080,Note_on_c,0,59,100
1,4098,Note_off_c,0,53,100
1,4098,Note_off_c,0,59,100
1,4200,Note_on_c,0,54,100
1,4218,Note_off_c,0,54,100
1,4320,Note_on_c,0,53,100
1,4320,Note_on_c,1,59,100
1,4338,Note_off_c,0,53,100
1,4338,Note_off_c,1,59,100
1,4440,Note_on_c,0,59,100
1,4458,Note_off_c,0,59,100
1,4560,Note_on_c,0,53,100
1,4560,Note_on_c,0,54,100
1,4578,Note_off_c,0,53,100
1,4578,Note_off_c,0,54,100
1,4680,Note_on_c,0,53,100
1,4680,Note_on_c,0,54,100
1,4680,Note_on_c,1,63,100
1,4699,Note_off_c,1,63,100
1,4699,Note_off_c,0,53,100
1,4699,Note_off_c,0,54,100
1,4920,Note_on_c,0,59,100
1,4920,Note_on_c,0,59,100
1,4920,Note_on_c,1,55,100
1,4920,Note_on_c,1,55,100
1,4938,Note_off_c,0,59,100
1,4938,Note_off_c,1,55,100
1,4938,Note_off_c,0,59,100
1,4938,Note_off_c,1,55,100
1,5040,Note_on_c,0,53,100
1,5040,Note_on_c,0,54,100
1,5058,Note_off_c,0,53,100
1,5058,Note_off_c,0,54,100
1,5160,Note_on_c,0,53,100
1,5160,Note_on_c,1,59,100
1,5178,Note_off_c,0,53,100
1,5178,Note_off_c,1,59,100
1,5280,Note_on_c,0,59,100
1,5298,Note_off_c,0,59,100
1,5400,Note_on_c,0,54,100
1,5400,Note_on_c,1,63,100
1,5418,Note_off_c,0,54,100
1,5418,Note_off_c,1,63,100
1,5520,Note_on_c,0,53,100
1,5520,Note_on_c,0,53,100
1,5520,Note_on_c,0,54,100
1,5520,Note_on_c,0,54,100
1,5538,Note_off_c,0,53,100
1,5538,Note_off_c,0,54,100
1,5538,Note_off_c,0,53,100
1,5538,Note_off_c,0,54,100
1,5640,Note_on_c,0,59,100
1,5658,Note_off_c,0,59,100
1,5760,Note_on_c,0,54,100
1,5778,Note_off_c,0,54,100
1,5880,Note_on_c,0,59,100
1,5880,Note_on_c,1,55,100
1,5898,Note_off_c,0,59,100
1,5898,Note_off_c,1,55,100
1,6000,Note_on_c,0,53,100
1,6000,Note_on_c,0,54,100
1,6018,Note_off_c,0,53,100
1,6018,Note_off_c,0,54,100
1,6120,Note_on_c,0,53,100
1,6120,Note_on_c,0,54,100
1,6138,Note_off_c,0,53,100
1,6138,Note_off_c,0,54,100
1,6240,Note_on_c,0,53,100
1,6240,Note_on_c,0,59,100
1,6240,Note_on_c,1,59,100
1,6258,Note_off_c,0,53,100
1,6258,Note_off_c,0,59,100
1,6258,Note_off_c,1,59,100
1,6480,Note_on_c,0,53,100
1,6480,Note_on_c,0,54,100
1,6480,Note_on_c,1,63,100
1,6498,Note_off_c,0,53,100
1,6498,Note_off_c,0,54,100
1,6498,Note_off_c,1,63,100
1,6600,Note_on_c,0,59,100
1,6618,Note_off_c,0,59,100
1,6720,Note_on_c,0,53,100
1,6720,Note_on_c,0,54,100
1,6720,Note_on_c,1,55,100
1,6738,Note_off_c,0,53,100
1,6738,Note_off_c,0,54,100
1,6738,Note_off_c,1,55,100
1,6840,Note_on_c,0,53,100
1,6858,Note_off_c,0,53,100
1,6960,Note_on_c,0,53,100
1,6960,Note_on_c,0,54,100
1,6960,Note_on_c,1,59,100
1,6978,Note_off_c,0,53,100
1,6978,Note_off_c,0,54,100
1,6978,Note_off_c,1,59,100
1,7080,Note_on_c,0,59,100
1,7080,Note_on_c,0,59,100
1,7098,Note_off_c,0,59,100
1,7098,Note_off_c,0,59,100
1,7320,Note_on_c,0,54,100
1,7320,Note_on_c,0,54,100
1,7338,Note_off_c,0,54,100
1,7338,Note_off_c,0,54,100
1,7440,Note_on_c,0,53,100
1,7440,Note_on_c,0,59,100
1,7440,Note_on_c,1,63,100
1,7458,Note_off_c,0,53,100
1,7458,Note_off_c,0,59,100
1,7458,Note_off_c,1,63,100
1,7560,Note_on_c,0,53,100
1,7560,Note_on_c,0,53,100
1,7560,Note_on_c,0,54,100
1,7560,Note_on_c,0,54,100
1,7578,Note_off_c,0,53,100
1,7578,Note_off_c,0,54,100
1,7578,Note_off_c,0,53,100
1,7578,Note_off_c,0,54,100
1,7680,Note_on_c,0,54,100
1,7698,Note_off_c,0,54,100
1,7800,Note_on_c,0,59,100
1,7800,Note_on_c,1,55,100
1,7818,Note_off_c,0,59,100
1,7818,Note_off_c,1,55,100
1,8040,Note_on_c,0,54,100
1,8040,Note_on_c,1,59,100
1,8058,Note_off_c,0,54,100
1,8058,Note_off_c,1,59,100
1,8160,Note_on_c,0,53,100
1,8160,Note_on_c,0,59,100
1,8178,Note_off_c,0,53,100
1,8178,Note_off_c,0,59,100
1,8280,Note_on_c,0,54,100
1,8280,Note_on_c,1,63,100
1,8280,Note_on_c,1,63,100
1,8298,Note_off_c,0,54,100
1,8298,Note_off_c,1,63,100
1,8298,Note_off_c,1,63,100
1,8400,Note_on_c,0,54,100
1,8400,Note_on_c,0,68,100
1,8418,Note_off_c,0,54,100
1,8418,Note_off_c,0,68,100
1,8520,Note_on_c,1,63,100
1,8538,Note_off_c,1,63,100
1,8640,Note_on_c,0,63,100
1,8658,Note_off_c,0,63,100
1,8760,Note_on_c,0,54,100
1,8760,Note_on_c,0,54,100
1,8760,Note_on_c,0,58,100
1,8760,Note_on_c,0,58,100
1,8778,Note_off_c,0,54,100
1,8778,Note_off_c,0,58,100
1,8778,Note_off_c,0,54,100
1,8778,Note_off_c,0,58,100
1,8880,Note_on_c,0,59,100
1,8898,Note_off_c,0,59,100
1,9000,Note_on_c,0,53,100
1,9000,Note_on_c,0,53,100
1,9000,Note_on_c,1,63,100
1,9000,Note_on_c,1,63,100
1,9018,Note_off_c,0,53,100
1,9018,Note_off_c,1,63,100
1,9018,Note_off_c,0,53,100
1,9018,Note_off_c,1,63,100
1,9120,Note_on_c,0,68,100
1,9138,Note_off_c,0,68,100
1,9240,Note_on_c,0,59,100
1,9240,Note_on_c,0,59,100
1,9240,Note_on_c,0,68,100
1,9240,Note_on_c,0,68,100
1,9258,Note_off_c,0,59,100
1,9258,Note_off_c,0,68,100
1,9258,Note_off_c,0,59,100
1,9258,Note_off_c,0,68,100
1,9360,Note_on_c,0,54,100
1,9360,Note_on_c,0,68,100
1,9360,Note_on_c,1,63,100
1,9378,Note_off_c,0,54,100
1,9378,Note_off_c,0,68,100
1,9378,Note_off_c,1,63,100
1,9480,Note_on_c,0,54,100
1,9480,Note_on_c,0,68,100
1,9480,Note_on_c,0,68,100
1,9498,Note_off_c,0,54,100
1,9498,Note_off_c,0,68,100
1,9498,Note_off_c,0,68,100
1,9600,Note_on_c,0,59,100
1,9600,Note_on_c,1,55,100
1,9618,Note_off_c,0,59,100
1,9618,Note_off_c,1,55,100
1,9720,Note_on_c,0,54,100
1,9720,Note_on_c,0,54,100
1,9738,Note_off_c,0,54,100
1,9738,Note_off_c,0,54,100
1,9840,Note_on_c,0,59,100
1,9840,Note_on_c,0,68,100
1,9840,Note_on_c,1,59,100
1,9858,Note_off_c,0,59,100
1,9858,Note_off_c,0,68,100
1,9858,Note_off_c,1,59,100
1,9960,Note_on_c,0,54,100
1,9978,Note_off_c,0,54,100
1,10080,Note_on_c,0,54,100
1,10080,Note_on_c,1,63,100
1,10098,Note_off_c,0,54,100
1,10098,Note_off_c,1,63,100
1,10200,Note_on_c,0,59,100
1,10200,Note_on_c,0,59,100
1,10200,Note_on_c,0,68,100
1,10200,Note_on_c,0,68,100
1,10218,Note_off_c,0,59,100
1,10218,Note_off_c,0,68,100
1,10218,Note_off_c,0,59,100
1,10218,Note_off_c,0,68,100
1,10320,Note_on_c,0,54,100
1,10338,Note_off_c,0,54,100
1,10560,Note_on_c,0,68,100
1,10560,Note_on_c,1,55,100
1,10578,Note_off_c,0,68,100
1,10578,Note_off_c,1,55,100
1,10680,Note_on_c,0,68,100
1,10698,Note_off_c,0,68,100
1,10800,Note_on_c,0,59,100
1,10800,Note_on_c,0,68,100
1,10818,Note_off_c,0,59,100
1,10818,Note_off_c,0,68,100
1,10920,Note_on_c,0,54,100
1,10920,Note_on_c,0,68,100
1,10920,Note_on_c,1,59,100
1,10938,Note_off_c,0,54,100
1,10938,Note_off_c,0,68,100
1,10938,Note_off_c,1,59,100
1,11040,Note_on_c,0,54,100
1,11058,Note_off_c,0,54,100
1,11160,Note_on_c,0,68,100
1,11160,Note_on_c,1,63,100
1,11178,Note_off_c,0,68,100
1,11178,Note_off_c,1,63,100
1,11280,Note_on_c,0,68,100
1,11298,Note_off_c,0,68,100
1,11400,Note_on_c,0,59,100
1,11400,Note_on_c,1,55,100
1,11418,Note_off_c,0,59,100
1,11418,Note_off_c,1,55,100
1,11520,Note_on_c,0,54,100
1,11538,Note_off_c,0,54,100
1,11640,Note_on_c,1,59,100
1,11658,Note_off_c,1,59,100
1,11760,Note_on_c,0,59,100
1,11778,Note_off_c,0,59,100
1,11880,Note_on_c,0,54,100
1,11880,Note_on_c,0,54,100
1,11880,Note_on_c,0,68,100
1,11898,Note_off_c,0,54,100
1,11898,Note_off_c,0,68,100
1,11898,Note_off_c,0,54,100
1,12120,Note_on_c,0,54,100
1,12120,Note_on_c,0,54,100
1,12120,Note_on_c,0,68,100
1,12120,Note_on_c,0,68,100
1,12120,Note_on_c,1,63,100
1,12120,Note_on_c,1,63,100
1,12138,Note_off_c,0,54,100
1,12138,Note_off_c,0,68,100
1,12138,Note_off_c,1,63,100
1,12138,Note_off_c,0,54,100
1,12138,Note_off_c,0,68,100
1,12138,Note_off_c,1,63,100
1,12240,Note_on_c,0,59,100
1,12240,Note_on_c,0,68,100
1,12258,Note_off_c,0,59,100
1,12258,Note_off_c,0,68,100
1,12360,Note_on_c,0,54,100
1,12360,Note_on_c,0,68,100
1,12378,Note_off_c,0,54,100
1,12378,Note_off_c,0,68,100
1,12480,Note_on_c,0,59,100
1,12480,Note_on_c,1,55,100
1,12498,Note_off_c,0,59,100
1,12498,Note_off_c,1,55,100
1,12600,Note_on_c,0,54,100
1,12618,Note_off_c,0,54,100
1,12720,Note_on_c,0,54,100
1,12720,Note_on_c,0,68,100
1,12720,Note_on_c,1,59,100
1,12738,Note_off_c,0,54,100
1,12738,Note_off_c,0,68,100
1,12738,Note_off_c,1,59,100
1,12840,Note_on_c,0,59,100
1,12858,Note_off_c,0,59,100
1,12960,Note_on_c,1,63,100
1,12978,Note_off_c,1,63,100
1,13080,Note_on_c,0,54,100
1,13098,Note_off_c,0,54,100
1,13200,Note_on_c,0,59,100
1,13200,Note_on_c,0,68,100
1,13200,Note_on_c,1,55,100
1,13218,Note_off_c,0,59,100
1,13218,Note_off_c,0,68,100
1,13218,Note_off_c,1,55,100
1,13320,Note_on_c,0,54,100
1,13320,Note_on_c,0,68,100
1,13338,Note_off_c,0,54,100
1,13338,Note_off_c,0,68,100
1,13440,Note_on_c,0,54,100
1,13458,Note_off_c,0,54,100
1,13560,Note_on_c,0,59,100
1,13560,Note_on_c,0,68,100
1,13578,Note_off_c,0,59,100
1,13578,Note_off_c,0,68,100
1,13680,Note_on_c,0,54,100
1,13680,Note_on_c,0,68,100
1,13680,Note_on_c,1,59,100
1,13698,Note_off_c,0,54,100
1,13698,Note_off_c,0,68,100
1,13698,Note_off_c,1,59,100
1,13800,Note_on_c,0,68,100
1,13818,Note_off_c,0,68,100
1,13920,Note_on_c,0,59,100
1,13920,Note_on_c,0,68,100
1,13938,Note_off_c,0,59,100
1,13938,Note_off_c,0,68,100
1,14040,Note_on_c,0,54,100
1,14040,Note_on_c,1,63,100
1,14058,Note_off_c,0,54,100
1,14058,Note_off_c,1,63,100
1,14160,Note_on_c,0,54,100
1,14178,Note_off_c,0,54,100
1,14280,Note_on_c,0,59,100
1,14280,Note_on_c,0,68,100
1,14280,Note_on_c,1,55,100
1,14298,Note_off_c,0,59,100
1,14298,Note_off_c,0,68,100
1,14298,Note_off_c,1,55,100
1,14400,Note_on_c,0,54,100
1,14418,Note_off_c,0,54,100
1,14520,Note_on_c,0,59,100
1,14520,Note_on_c,0,59,100
1,14520,Note_on_c,0,68,100
1,14520,Note_on_c,0,68,100
1,14520,Note_on_c,1,59,100
1,14520,Note_on_c,1,59,100
