channel,time,status,program,pitch,velo
1,53,Note_on_c,0,69,80
1,148,Note_off_c,0,69,0
1,171,Note_on_c,0,72,40
1,265,Note_off_c,0,72,0
1,293,Note_on_c,0,76,80
1,388,Note_off_c,0,76,0
1,410,Note_on_c,0,86,40
1,505,Note_off_c,0,86,0
1,533,Note_on_c,0,90,80
1,628,Note_off_c,0,90,0
1,650,Note_on_c,0,55,40
1,745,Note_off_c,0,55,0
1,772,Note_on_c,0,58,80
1,873,Note_off_c,0,58,0
1,890,Note_on_c,0,62,40
1,984,Note_off_c,0,62,0
1,1012,Note_on_c,0,72,80
1,1112,Note_off_c,0,72,0
1,1129,Note_on_c,0,75,40
1,1224,Note_off_c,0,75,0
1,1252,Note_on_c,0,79,80
1,1352,Note_off_c,0,79,0
1,1369,Note_on_c,0,82,40
1,1463,Note_off_c,0,82,0
1,1497,Note_on_c,0,86,80
1,1592,Note_off_c,0,86,0
1,1608,Note_on_c,0,72,40
1,1703,Note_off_c,0,72,0
1,1737,Note_on_c,0,75,80
1,1829,Note_off_c,0,75,0
1,1846,Note_on_c,0,55,40
1,1940,Note_off_c,0,55,0
1,1973,Note_on_c,0,58,80
1,2068,Note_off_c,0,58,0
1,2085,Note_on_c,0,62,40
1,2179,Note_off_c,0,62,0
1,2213,Note_on_c,0,72,80
1,2307,Note_off_c,0,72,0
1,2324,Note_on_c,0,76,40
1,2419,Note_off_c,0,76,0
1,2452,Note_on_c,0,55,80
1,2547,Note_off_c,0,55,0
1,2564,Note_on_c,0,58,40
1,2659,Note_off_c,0,58,0
1,2692,Note_on_c,0,62,80
1,2787,Note_off_c,0,62,0
1,2804,Note_on_c,0,82,40
1,2904,Note_off_c,0,82,0
1,2932,Note_on_c,0,86,80
1,3026,Note_off_c,0,86,0
1,3043,Note_on_c,0,72,40
1,3143,Note_off_c,0,72,0
1,3171,Note_on_c,0,75,80
1,3266,Note_off_c,0,75,0
1,3283,Note_on_c,0,79,40
1,3383,Note_off_c,0,79,0
1,3411,Note_on_c,0,72,80
1,3506,Note_off_c,0,72,0
1,3528,Note_on_c,0,75,40
1,3623,Note_off_c,0,75,0
1,3651,Note_on_c,0,55,80
1,3745,Note_off_c,0,55,0
1,3768,Note_on_c,0,58,40
1,3862,Note_off_c,0,58,0
1,3890,Note_on_c,0,62,80
1,3985,Note_off_c,0,62,0
1,4007,Note_on_c,0,48,40
1,4102,Note_off_c,0,48,0
1,4130,Note_on_c,0,51,80
1,4225,Note_off_c,0,51,0
1,4247,Note_on_c,0,62,40
1,4342,Note_off_c,0,62,0
